input,2050_KM,2050_KGG_midden,2050_KGG_hoog,2050_GP_basis,2050_GP_midden,2050_GP_hoog,2030_KM,2030_KGG_midden,2030_KGG_hoog,2030_GP_basis,2030_GP_midden,2030_GP_hoog,2035_KM,2035_KGG_midden,2035_KGG_hoog,2035_GP_basis,2035_GP_midden,2035_GP_hoog,2040_KM,2040_KGG_midden,2040_KGG_hoog,2040_GP_basis,2040_GP_midden,2040_GP_hoog
share_of_energy_heat_flexibility_p2h_boiler_ht_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_heat_flexibility_p2h_boiler_mt_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_heat_flexibility_p2h_heatpump_ht_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_heat_flexibility_p2h_heatpump_mt_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_hydrogen_autothermal_reformer_ccs_must_run,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_hydrogen_biomass_gasification_ccs,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_hydrogen_steam_methane_reformer_ccs_must_run,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_power_combined_cycle_ccs_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_power_combined_cycle_ccs_network_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_power_supercritical_ccs_waste_mix,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_power_ultra_supercritical_ccs_coal,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_energy_power_wood_pellets_ccs_dispatchable,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_power_wood_pellets_ccs_must_run,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_steel_chemical_feedstock_coal_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_energy_steel_energy_production_coal_gas,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_industry_chemicals_fertilizers_captured_combustion_co2,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_industry_chemicals_fertilizers_captured_processes_co2,,,,,,,,,,,,,,,,,,,,,,65,65,65
share_of_industry_other_food_captured_co2,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_industry_other_paper_captured_co2,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_industry_steel_captured_co2,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_molecules_other_utilisation_delayed_emitted_co2,,,,,,,,,,,,,,,,,,,,,,0,0,0
share_of_molecules_other_utilisation_delayed_indefinitely_co2,,,,,,,,,,,,,,,,,,,,,,100,100,100
share_of_molecules_transport_pipelines_co2,,,,,,,,,,,,,,,,,,,,,,50,50,50
share_of_molecules_transport_ships_co2,,,,,,,,,,,,,,,,,,,,,,50,50,50
transport_bicycle_using_electricity_share,,,,,,,,,,,,,,,,,,,,,,43,43,43
transport_bicycle_using_human_power_share,,,,,,,,,,,,,,,,,,,,,,57,57,57
transport_bicycles_share,,8.36,9.5,,11.4,15.2,,7.84,8.24,,8.92,10.27,,7.97,8.56,,9.54,11.5,,8.1,8.87,7.6,10.16,12.73
transport_bus_using_compressed_natural_gas_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_bus_using_diesel_mix_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_bus_using_electricity_availability,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_bus_using_electricity_share,,,,,,,,,,,,,,,,,,,,,,99,99,99
transport_bus_using_gasoline_mix_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_bus_using_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,1,1,1
transport_bus_using_lng_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_busses_share,,7.04,8,,9.6,12.8,,6.6,6.94,,7.51,8.64,,6.71,7.21,,8.03,9.68,,6.82,7.47,6.4,8.55,10.72
transport_car_using_compressed_natural_gas_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_car_using_diesel_mix_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_car_using_electricity_availability,,21.45,28.6,,21.45,28.6,,7.61,10.15,,7.61,10.15,,11.07,14.76,,11.07,14.76,,14.53,19.37,14.3,14.53,19.37
transport_car_using_electricity_custom_profile_charging_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_car_using_electricity_fast_charging_share,,,,,,,,,,,,,,,,,,,,,,9,9,9
transport_car_using_electricity_home_charging_share,,,,,,,,,,,,,,,,,,,,,,19,19,19
transport_car_using_electricity_public_charging_share,,,,,,,,,,,,,,,,,,,,,,55,55,55
transport_car_using_electricity_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
transport_car_using_electricity_work_charging_share,,,,,,,,,,,,,,,,,,,,,,17,17,17
transport_car_using_gasoline_mix_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_car_using_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_car_using_lpg_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_cars_share,,70.85,66.875,,60.25,47,,72.94,71.53,,69.18,64.48,,72.42,70.36,,66.95,60.11,,71.89,69.21,73.5,64.71,55.74
transport_freight_train_using_diesel_mix_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_freight_train_using_electricity_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
transport_freight_train_using_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_freight_trains_share,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,1.8
transport_motorcycle_using_electricity_share,,,,,,,,,,,,,,,,,,,,,,40,40,40
transport_motorcycle_using_gasoline_mix_share,,,,,,,,,,,,,,,,,,,,,,60,60,60
transport_motorcycles_share,,3.19,3.625,,4.35,5.8,,3.01,3.16,,3.42,3.94,,3.06,3.28,,3.65,4.4,,3.1,3.39,2.9,3.89,4.87
transport_passenger_train_using_coal_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_passenger_train_using_diesel_mix_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_passenger_train_using_electricity_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
transport_passenger_train_using_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_passenger_trains_share,,10.34,11.75,,14.1,18.8,,9.42,9.92,,10.75,12.42,,9.65,10.38,,11.59,14.02,,9.88,10.83,9.4,12.43,15.61
transport_plane_using_bio_ethanol_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_plane_using_electricity_share,,,,,,,,,,,,,,,,,,,,,,20,20,20
transport_plane_using_gasoline_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_plane_using_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,80,80,80
transport_plane_using_kerosene_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_planes_efficiency,,,,,,,,,,,,,,,,,,,,,,0.62,0.62,0.62
transport_planes_share,,0.11,0.125,,0.15,0.2,,0.09,0.1,,0.1,0.12,,0.09,0.1,,0.12,0.14,,0.1,0.11,0.1,0.13,0.16
transport_rail_mixer_diesel_biodiesel_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
transport_rail_mixer_diesel_diesel_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_road_mixer_diesel_biodiesel_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
transport_road_mixer_diesel_diesel_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_road_mixer_gasoline_ethanol_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
transport_road_mixer_gasoline_gasoline_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_road_mixer_lng_bio_lng_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
transport_road_mixer_lng_lng_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_ship_using_ammonia_share,,,,,,,,,,,,,,,,,,,,,,25,25,25
transport_ship_using_diesel_mix_share,,,,,,,,,,,,,,,,,,,,,,10,10,10
transport_ship_using_electricity_share,,,,,,,,,,,,,,,,,,,,,,25,25,25
transport_ship_using_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,25,25,25
transport_ship_using_lng_mix_share,,,,,,,,,,,,,,,,,,,,,,15,15,15
transport_shipping_mixer_diesel_bio_ethanol_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_shipping_mixer_diesel_bio_lng_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_shipping_mixer_diesel_biodiesel_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_shipping_mixer_diesel_diesel_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
transport_shipping_mixer_diesel_heavy_fuel_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_shipping_mixer_diesel_lng_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_shipping_mixer_lng_bio_lng_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
transport_shipping_mixer_lng_lng_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_ships_efficiency,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.9
transport_ships_share,,,,,,,,,,,,,,,,,,,,,,29.2,29.2,29.2
transport_trains_efficiency,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1
transport_trams_share,,0.11,0.125,,0.15,0.2,,0.1,0.11,,0.12,0.13,,0.1,0.11,,0.12,0.15,,0.11,0.12,0.1,0.13,0.17
transport_truck_using_compressed_natural_gas_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_truck_using_diesel_mix_share,,,,,,,,,,,,,,,,,,,,,,4.2,4.2,4.2
transport_truck_using_electricity_availability,,0,10,,5,10,,0,3.55,,1.77,3.55,,0,5.16,,2.58,5.16,,0,6.77,0,3.39,6.77
transport_truck_using_electricity_share,,,,,,,,,,,,,,,,,,,,,,78.8,78.8,78.8
transport_truck_using_gasoline_mix_share,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1
transport_truck_using_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,8.5,8.5,8.5
transport_truck_using_lng_mix_share,,,,,,,,,,,,,,,,,,,,,,8.4,8.4,8.4
transport_trucks_share,,,,,,,,,,,,,,,,,,,,,,68,68,68
transport_useful_demand_freight_tonne_kms,,,,,1,1,,0,0,,,,,0,0,,0.52,0.52,,,,1,0.68,0.68
transport_useful_demand_passenger_kms,,,,,-0.9,-0.9,,0,0,,,,,0,0,,-0.46,-0.46,,,,0.85,-0.61,-0.61
transport_van_using_compressed_natural_gas_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_van_using_diesel_mix_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_van_using_electricity_availability,,0,10,,5,10,,0,3.55,,1.77,3.55,,0,5.16,,2.58,5.16,,0,6.77,0,3.39,6.77
transport_van_using_electricity_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
transport_van_using_gasoline_mix_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_van_using_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_van_using_lpg_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
transport_vans_share,,,,,,,,,,,,,,,,,,,,,,1,1,1
transport_vehicle_combustion_engine_efficiency,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4
transport_vehicle_using_electricity_efficiency,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3
transport_vehicle_using_hydrogen_efficiency,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3
volume_costs_energy_flexibility_flow_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_ammonia,,,,,,,,,,,,,,,,,,,,,,62.304,62.304,62.304
volume_of_baseload_export_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_cokes,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_crude_oil,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_diesel,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_gasoline,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_heavy_fuel_oil,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_hydrogen,,,,,,,,,,,,,,,,,,,,,,461,461,461
volume_of_baseload_export_kerosene,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_lignite,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_liquid_hydrogen,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_lng,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_lohc,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_lpg,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_baseload_export_network_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_energy_flexibility_flow_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,18,18,18
volume_of_energy_flexibility_hv_opac_electricity,,,,,,,,,,,,,,,,,,,,,,100,100,100
volume_of_energy_flexibility_mv_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,8,8,8
volume_of_energy_flexibility_pumped_storage_electricity,,,,,,,,,,,,,,,,,,,,,,6,6,6
volume_of_energy_flexibility_solar_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,4,4,4
volume_of_energy_flexibility_wind_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,8,8,8
volume_of_energy_hydrogen_storage_depleted_gas_field,,,,,,,,,,,,,,,,,,,,,,12,12,12
volume_of_energy_hydrogen_storage_salt_cavern,,,,,,,,,,,,,,,,,,,,,,3,3,3
volume_of_households_flexibility_p2p_electricity,,,,,,,,,,,,,,,,,,,,,,4,4,4
volume_of_ht_imported_heat,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_ht_residual_heat,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_lt_imported_heat,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_lt_residual_heat,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_molecules_import_co2_baseload,,,,,,,,,,,,,,,,,,,,,,21,21,21
volume_of_mt_imported_heat,,,,,,,,,,,,,,,,,,,,,,0,0,0
volume_of_mt_residual_heat,,,,,,,,,,,,,,,,,,,,,,10,10,10
volume_of_transport_bus_using_electricity,,,,,,,,,,,,,,,,,,,,,,10,10,10
volume_of_transport_car_using_electricity,,,,,,,,,,,,,,,,,,,,,,8,8,8
volume_of_transport_truck_using_electricity,,,,,,,,,,,,,,,,,,,,,,10,10,10
volume_of_transport_van_using_electricity,,,,,,,,,,,,,,,,,,,,,,8,8,8
wta_of_energy_flexibility_flow_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,6.4,6.4,6.4
wta_of_energy_flexibility_hv_opac_electricity,,,,,,,,,,,,,,,,,,,,,,10,10,10
wta_of_energy_flexibility_mv_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,10,10,10
wta_of_households_flexibility_p2p_electricity,,,,,,,,,,,,,,,,,,,,,,10,10,10
wta_of_industry_chemical_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,500,500,500
wta_of_industry_metal_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,850,850,850
wta_of_industry_other_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,2000,2000,2000
wta_of_industry_other_ict_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,300,300,300
wta_of_transport_car_flexibility_p2p_electricity,,,,,,,,,,,,,,,,,,,,,,10,10,10
wtp_of_agriculture_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,49,49,49
wtp_of_energy_flexibility_flow_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,4.5
wtp_of_energy_flexibility_hv_opac_electricity,,,,,,,,,,,,,,,,,,,,,,5,5,5
wtp_of_energy_flexibility_mv_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,5,5,5
wtp_of_energy_heat_flexibility_p2h_boiler_electricity,,49,49,,49,49,,49,49,,49,49,,49,49,,49,49,,49,49,49,49,49
wtp_of_energy_heat_flexibility_p2h_heatpump_electricity,,,,,,,,,,,,,,,,,,,,,,147,147,147
wtp_of_energy_hydrogen_flexibility_p2g_electricity,,,,,,,,,,,,,,,,,,,,,,48,48,48
wtp_of_energy_hydrogen_hybrid_electrolysis_wind_electricity,,,,,,,,,,,,,,,,,,,,,,48,48,48
wtp_of_energy_production_synthetic_kerosene_dispatchable,,,,,,,,,,,,,,,,,,,,,,22,22,22
wtp_of_households_flexibility_p2p_electricity,,,,,,,,,,,,,,,,,,,,,,5,5,5
wtp_of_industry_chemicals_fertilizers_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,50,50,50
wtp_of_industry_chemicals_other_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,50,50,50
wtp_of_industry_chemicals_refineries_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,50,50,50
wtp_of_industry_other_food_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,50,50,50
wtp_of_industry_other_paper_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,50,50,50
wtp_of_transport_car_flexibility_p2p_electricity,,,,,,,,,,,,,,,,,,,,,,5,5,5
external_coupling_biogenic_waste_max_demand,,,,,,,,,,,,,,,,,,,,,,43.45876471,43.45876471,43.45876471
external_coupling_capacity_of_industry_chp_combined_cycle_gas_power_fuelmix,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_capacity_of_industry_chp_engine_gas_power_fuelmix,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_capacity_of_industry_chp_turbine_gas_power_fuelmix,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_capacity_of_industry_chp_turbine_hydrogen,,,,,,,,,,,,,,,,,,,,,,25,25,25
external_coupling_capacity_of_industry_chp_ultra_supercritical_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_capacity_of_industry_chp_wood_pellets,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_efficiency_industry_chp_combined_cycle_gas_power_fuelmix_electricity,,,,,,,,,,,,,,,,,,,,,,43,43,43
external_coupling_efficiency_industry_chp_combined_cycle_gas_power_fuelmix_heat,,,,,,,,,,,,,,,,,,,,,,31,31,31
external_coupling_efficiency_industry_chp_engine_gas_power_fuelmix_electricity,,,,,,,,,,,,,,,,,,,,,,43,43,43
external_coupling_efficiency_industry_chp_engine_gas_power_fuelmix_heat,,,,,,,,,,,,,,,,,,,,,,47,47,47
external_coupling_efficiency_industry_chp_turbine_gas_power_fuelmix_electricity,,,,,,,,,,,,,,,,,,,,,,35,35,35
external_coupling_efficiency_industry_chp_turbine_gas_power_fuelmix_heat,,,,,,,,,,,,,,,,,,,,,,27,27,27
external_coupling_efficiency_industry_chp_turbine_hydrogen_electricity,,,,,,,,,,,,,,,,,,,,,,35,35,35
external_coupling_efficiency_industry_chp_turbine_hydrogen_heat,,,,,,,,,,,,,,,,,,,,,,27,27,27
external_coupling_efficiency_industry_chp_ultra_supercritical_coal_electricity,,,,,,,,,,,,,,,,,,,,,,40,40,40
external_coupling_efficiency_industry_chp_ultra_supercritical_coal_heat,,,,,,,,,,,,,,,,,,,,,,15,15,15
external_coupling_efficiency_industry_chp_wood_pellets_electricity,,,,,,,,,,,,,,,,,,,,,,18,18,18
external_coupling_efficiency_industry_chp_wood_pellets_heat,,,,,,,,,,,,,,,,,,,,,,47,47,47
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_ammonia_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_ammonia_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_bio_kerosene_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_bio_oil_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_bio_oil_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_biodiesel_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_crude_oil_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_crude_oil_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_diesel_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_electricity_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_gasoline_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_greengas_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_greengas_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_heavy_fuel_oil_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_hydrogen_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_hydrogen_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_kerosene_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_loss_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_lpg_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_methanol_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_methanol_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_natural_gas_input_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_natural_gas_output_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_not_defined_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_not_defined_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_steam_hot_water_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_total_demand,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_waste_mix_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_fertilizers_transformation_external_coupling_node_wood_pellets_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_ammonia_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_ammonia_output_share,,,,,,,,,,,,,,,,,,,,,,1.065186502,1.065186502,1.065186502
external_coupling_energy_chemical_other_transformation_external_coupling_node_bio_kerosene_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_bio_oil_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_bio_oil_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_biodiesel_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_crude_oil_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_crude_oil_output_share,,,,,,,,,,,,,,,,,,,,,,1.499851316,1.499851316,1.499851316
external_coupling_energy_chemical_other_transformation_external_coupling_node_diesel_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_electricity_input_share,,,,,,,,,,,,,,,,,,,,,,13.29006912,13.29006912,13.29006912
external_coupling_energy_chemical_other_transformation_external_coupling_node_gasoline_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_greengas_input_share,,,,,,,,,,,,,,,,,,,,,,0.640735452,0.640735452,0.640735452
external_coupling_energy_chemical_other_transformation_external_coupling_node_greengas_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_heavy_fuel_oil_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_hydrogen_input_share,,,,,,,,,,,,,,,,,,,,,,22.52066266,22.52066266,22.52066266
external_coupling_energy_chemical_other_transformation_external_coupling_node_hydrogen_output_share,,,,,,,,,,,,,,,,,,,,,,20.75007358,20.75007358,20.75007358
external_coupling_energy_chemical_other_transformation_external_coupling_node_kerosene_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_loss_output_share,,,,,,,,,,,,,,,,,,,,,,59.60754372,59.60754372,59.60754372
external_coupling_energy_chemical_other_transformation_external_coupling_node_lpg_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_methanol_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_methanol_output_share,,,,,,,,,,,,,,,,,,,,,,15.23388502,15.23388502,15.23388502
external_coupling_energy_chemical_other_transformation_external_coupling_node_natural_gas_input_share,,,,,,,,,,,,,,,,,,,,,,43.22612727,43.22612727,43.22612727
external_coupling_energy_chemical_other_transformation_external_coupling_node_natural_gas_output_share,,,,,,,,,,,,,,,,,,,,,,1.843459865,1.843459865,1.843459865
external_coupling_energy_chemical_other_transformation_external_coupling_node_not_defined_input_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_not_defined_output_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
external_coupling_energy_chemical_other_transformation_external_coupling_node_steam_hot_water_input_share,,,,,,,,,,,,,,,,,,,,,,2.079746579,2.079746579,2.079746579
external_coupling_energy_chemical_other_transformation_external_coupling_node_total_demand,,,,,,,,,,,,,,,,,,,,,,209.5407702,209.5407702,209.5407702
external_coupling_energy_chemical_other_transformation_external_coupling_node_waste_mix_input_share,,,,,,,,,,,,,,,,,,,,,,16.50180056,16.50180056,16.50180056
external_coupling_energy_chemical_other_transformation_external_coupling_node_wood_pellets_input_share,,,,,,,,,,,,,,,,,,,,,,1.740858353,1.740858353,1.740858353
